sample_name,description
73_Cymbal_04_SP,"bright,dry, Cymbals, One shot"
73_Cymbal_08_SP,"bright,electronic, Hi-hat, One shot"
73_Hat_08_SP,"bright,dry, Cymbals, One shot"
73_Hat_14_SP,"bright,electronic, Hi-hat, One shot"
73_Hat_15_SP,"bright,electronic,dry, Hi-hat, One shot"
73_Kick_07_SP,"electronic,dry,hit, Kick, One shot"
73_Perc_47_SP,"acoustic,bright,dry,percussive,rattle, Tambourine, One shot"
73_Snare_03_SP,"bright,electronic,dry,hit, Snare, One shot"
73_Snare_08_SP,"bright,electronic,hit, Snare, One shot"
74_Kick_11_SP,"dark,electronic,dry,hit, Kick, One shot"
74_Kick_16_SP,"electronic,hit, Kick, One shot"
74_Kick_31_SP,"dark,electronic,dry,hit, Kick, One shot"
75_Claps_02_SP,"electronic,dry,hit, Clap, One shot"
75_Hats_06_SP,"acoustic,bright,dry, Hi-hat, One shot"
78_Snare_SP_09,"acoustic,dry,drum,hit, Snare, One shot"
80sDrums_BD_Beam_SP,"dark,electronic,hit, Kick, One shot"
80sDrums_BD_Boss_SP,"dark,electronic,hit, Kick, One shot"
80sDrums_BD_Norm_SP,"dark,electronic,dry,hit, Kick, One shot"
80sDrums_Block_11_SP,"acoustic,bright,dry,hit, Rim, One shot"
80sDrums_Clap_07_SP,"bright,electronic,dry,saturated,hit, Clap, One shot"
80sDrums_Clap_19_SP,"electronic,saturated,hit, Clap, One shot"
80sDrums_Clave_04_SP,"acoustic,hit, Woodblock, One shot"
80sDrums_HH_ClaspO_SP,"bright,electronic,dry, Hi-hat, One shot"
80sDrums_HH_Play_SP,"acoustic,bright,dry,saturated,open, Hi-hat, One shot"
80sDrums_HH_RealO_SP,"acoustic,bright,saturated,closed, Hi-hat, One shot"
80sDrums_HH_TickerO_SP,"bright,electronic,dry, Hi-hat, One shot"
80sDrums_SD_Usual_SP,"bright,electronic,dry,hit, Snare, One shot"
80sDrums_Tamb_01_SP,"acoustic,bright,percussive,rattle, Tambourine, One shot"
81_Clap_03_SP,"electronic,dry,hit, Clap, One shot"
81_Perc_13_SP,"acoustic,hit, Rim, One shot"
87_Snare_23_SP,"acoustic,drum,hit, Snare, One shot"
91_Cymbal_02_SP,"bright,dry, Crash, One shot"
91_Cymbal_03_SP,"bright, Ride, Loop"
91_HiHat_04_SP,"acoustic,bright,dry, Hi-hat, One shot"
95_Hats_SP_33,"bright,electronic,dry, Hi-hat, One shot"
97_Clap_SP_18,"electronic,dry,hit, Clap, One shot"
97_Hat_SP_06,"acoustic,bright,dry,saturated, Hi-hat, One shot"
97_Hat_SP_15,"bright,electronic,dry, Hi-hat, One shot"
98_HihatIrlClosed_SP_01,"acoustic,bright,dry,closed,open, Hi-hat, One shot"
99_Hihat_SP_03,"bright,electronic,dry,saturated, Hi-hat, One shot"
99_Hihat_SP_44,"bright,electronic,dry,saturated, Hi-hat, One shot"
99_Kick_SP_21,"electronic,dry,hit, Kick, One shot"
99_Snare_SP_33,"bright,electronic,dry,hit, Snare, One shot"
99_Snare_SP_44,"acoustic,bright,dry,hit,percussive, Snap, One shot"
"Aaja Sanam Madhur Chandani - Raj Kapoor, Nargis, Chori Chori song (Duet)_PROCESSED","processed, Long"
AbstractBreaks_FX_472_SP_12,"acoustic,bright,wet,metallic,percussive,struck,bells, Triangle, One shot"
AfroLatinPercussion_00_BongoBellHiClosed_SP_01,"acoustic,latin,dry,closed,struck,bells, Cowbell, One shot"
AfroLatinPercussion_00_BongoBellLoClosed_SP_01,"acoustic,latin,dry,closed,struck,bells, Cowbell, One shot"
Against the Ninja - Dragon Sound (Clean),"clean,electronic,up, Sweep, One shot"
Against the Ninja - Dragon Sound (Clean)_PROCESSED,"clean,processed, Long"
aInterlude,"acoustic,clean,brass, Trumpet, Loop"
AlexKidRawDrumMachines_ES1_Hats_01_SP,"bright,electronic,dry,drum, Hi-hat, One shot"
AlexKidRawDrumMachines_ES1_Hats_07_SP,"bright,electronic,drum, Hi-hat, One shot"
AlexKidRawDrumMachines_ES1_Hats_09_SP,"acoustic,bright,dry,drum, Hi-hat, One shot"
AlienBeatscapes_JarKnock_SP_01,"acoustic,dry,drum,hand drum,percussive, Tabla, One shot"
AmbientIntelligence_Kick_SP_08,"ambient,electronic,dry,hit, Kick, One shot"
AmbientLandscapes_Foot_Shaker_01_SP,"acoustic,ambient,bright,clean,dry,hit,percussive,rattle, Guiro, One shot"
AmbientLandscapes_Very_Soft_Kick_01_SP,"ambient,dark,electronic,hit, Kick, One shot"
AnalogueHouse_Clap_Dirty_SP,"analog,electronic,house,dry,hit, Clap, One shot"
AnalogueHouse_Clap_Low_Bits_SP,"analog,bright,electronic,house,dry,hit,low, Clap, One shot"
AnalogueHouse_Clap_Tight_SP,"analog,bright,electronic,house,dry,saturated,hit, Clap, One shot"
AnalogueHouse_Clap_Verby_SP,"analog,bright,electronic,house,dry,saturated,hit, Clap, One shot"
AnalogueHouse_Oh_909_01_SP,"acoustic,analog,bright,house,dry,saturated,open,909, Hi-hat, One shot"
AnalogueHouse_Snare_Classique_SP,"analog,bright,electronic,house,dry,hit, Snare, One shot"
AnalogueHouse_Snare_Weighty_SP,"analog,bright,electronic,house,dry,hit, Snare, One shot"
AnalogueOnslaught_BlofeldKick_03_550,"analog,dark,electronic,hit, Kick, One shot"
ApocalyptoEDM_Hat_01_SP,"acoustic,bright,edm,dry,open, Hi-hat, One shot"
ApocalyptoEDM_Hat_03_SP,"bright,edm,electronic,dry, Hi-hat, One shot"
ApocalyptoEDM_Kick_03_SP,"edm,electronic,dry,hit, Kick, One shot"
ApocalyptoEDM_Kick_12_SP,"dark,edm,electronic,dry,hit, Kick, One shot"
ApocalyptoEDM_Snare_07_SP,"bright,edm,electronic,hit, Snare, One shot"
ArticleofSound_CompHat_01_545,"acoustic,bright,dry,hit,percussive,rattle, Guiro, One shot"
AstrariumWaves_Clap10_351_01,"bright,electronic,hit, Clap, One shot"
AstrariumWaves_Perc25_351_01,"bright,cinematic,percussive, Foley, One shot"
BASS,"dark,electronic,monophonic,saturated,low, Sub, One shot"
Bassline,"clean,electric, Organ, Loop"
bassline_1,"clean,dark,electric,plucked, Bass Guitar, Loop"
Basstrackloop,"clean,dark,electric,plucked, Bass Guitar, Loop"
basskick,"acoustic,dark,dry,drum,hit, Kick, One shot"
beatboxclap,"acoustic,clean,dry,hit,percussive,rattle, Guiro, One shot"
Beats&Pieces_BeesCymbal_SP_01,"bright,rhythm,beats, Ride, Loop"
Beats&Pieces_BrokeKick_SP_02,"acoustic,dark,rhythm,beats,drum,hit, Kick, One shot"
Beats&Pieces_GangTamb_SP_01,"acoustic,bright,rhythm,beats,saturated,percussive,rattle, Tambourine, One shot"
beethoven_violin,"acoustic,wet, Accordion, One shot"
Black_Oyster_Motown_Lofi,"acoustic,lo-fi,struck,bells, Cowbell, One shot"
Black_Oyster_Roomy,"bright, Crash, One shot"
Blue_Oyster_77_thump,"acoustic,bright,percussive,rattle, Tambourine, One shot"
Blue_Oyster_Pop_Dry,"pop,dry,hit, Rim, One shot"
BoomBapBeats&Bits_CleanLiveHat_01_SP,"acoustic,bright,clean,rhythm,beats,dry,open, Hi-hat, One shot"
BoomBapBeats&Bits_HardLiveSnare_01_SP,"acoustic,bright,rhythm,beats,dry,drum,hit, Snare, One shot"
BoomBapBeats&Bits_StutterSnare_01_SP,"bright,rhythm,beats,dry,saturated,hit, Snare, One shot"
BoxworkUKBass_Perc_01_SP,"acoustic,bright,clean,percussive,rattle, Tambourine, One shot"
Buttons chop,"effects, Chopped, One shot"
CelestaInterlude,"acoustic,clean,percussive,struck,bells, Vibraphone, One shot"
CelestialProjection_SideKick_SP_01,"dark,electronic,dry,hit, Kick, One shot"
"Chevel Shepherd Performs a Stunning Blue Cover - The Voice Live Semi-Final, Top 8 Performances_PROCESSED","processed, Long"
choir,"acoustic, Accordion, One shot"
CloudMachines_Hit_SP_03,"acoustic,bright,hit,percussive,rattle, Guiro, One shot"
CloudMachines_PlasticSnare_SP_01,"bright,dry,percussive, , One shot"
ColdBloodedBass_BigRide_01_534,"bright,clean, Ride, One shot"
ColdBloodedBass_ClassicTrapHiHat_01_534,"bright,electronic,trap,dry, Hi-hat, One shot"
ColdBloodedBass_CoinSnare_01_534,"bright,electronic,hit, Clap, One shot"
ColdBloodedBass_HighCymbal_01_534,"bright,electronic,saturated, Hi-hat, One shot"
ColdBloodedBass_HipHopHiHat_01_534,"bright,electronic,hip hop,dry, Hi-hat, One shot"
ColdBloodedBass_HipHopKick_02_534,"dark,electronic,hip hop,dry,hit, Kick, One shot"
ColdBloodedBass_HiphopSnare_01_534,"bright,electronic,hip hop,dry,hit, Snare, One shot"
ContortedFuture_Crunk_SP_01,"bright,electronic,dry, Hi-hat, One shot"
ContortedFuture_Doctor_SP_01,"bright,electronic,hit, Snare, One shot"
ContortedFuture_Future_SP_01,"acoustic,dry,hit, Rim, One shot"
ContortedFuture_Scratchy_SP_01,"bright,electronic,dry,hit, Rim, One shot"
ContortedFuture_Spare_04_SP_01,"bright,electronic,dry, Hi-hat, One shot"
ContortedFuture_X_Roll_SP_01,"bright,electronic,hit, Snare, One shot"
Cool Water_PROCESSED,"processed, Long"
CosmicHipHop_Kick_SP_13,"electronic,hip hop,dry,hit, Kick, One shot"
CosmicHipHop_Perc_SP_06,"acoustic,hip hop,dry,drum,hand drum,percussive,skin, Conga, One shot"
CyberneticHipHop_ClosedHat_SP_01,"bright,electronic,hip hop,dry,closed, Hi-hat, One shot"
CyberneticHipHop_ClosedHat_SP_08,"bright,electronic,hip hop,dry,closed, Hi-hat, One shot"
Data101_IIIII_Snare_SP_02,"bright,electronic,dry,hit, Clap, Loop"
Data101_IIIII_Snare_SP_02,"bright,electronic,hit, Drums, One shot"
Data101_TC3_IIIII_Snare_SP_03,"bright,electronic,dry,saturated,hit, Snare, One shot"
Data101_TC6_IIIII_Snare_SP_02,"bright,electronic,dry,saturated,hit, Snare + Clap, One shot"
DeepHouse&Disco_LargeHiHat_01_SP,"bright,deep house,electronic,house,dry, Hi-hat, One shot"
DeepHouse&Disco_LowHiHat_01_SP,"bright,deep house,house,dry,low, Hi-hat, One shot"
DeepHouse&Disco_ReelKickDrum_01_SP,"deep house,electronic,house,dry,drum,hit, Kick, One shot"
DeepHouse&Disco_StickyKickDrum_01_SP,"deep house,electronic,house,drum,hit, Kick, One shot"
DeepHouse&Disco_TinyHiHat_01_SP,"acoustic,bright,deep house,house,open, Hi-hat, One shot"
DeepHouseSessions_EG101_Crash_003_SP,"bright,deep house,house,dry, Ride, One shot"
DeepHouseSessions_TD6K_018_Cowbell_SP,"acoustic,bright,deep house,house,dry,struck,bells, Cowbell, One shot"
DeepHouseSessions_TD6K_024_Guiro_SP,"acoustic,bright,deep house,house,dry,hit,percussive,rattle, Guiro, One shot"
DeepHouseSessions_TD6K_030_Tamborine_SP,"acoustic,bright,deep house,house,percussive,rattle, Tambourine, One shot"
DeepHouseSessions_TD6K_089_Triangle_SP,"acoustic,bright,deep house,house,metallic,percussive,struck,bells, Triangle, One shot"
DeepHouseSessions_TD6K_ClosedHat_002_SP,"acoustic,bright,deep house,house,dry,closed,open, Hi-hat, One shot"
DeepHouseSessions_TD6K_ClosedHat_004_SP,"acoustic,bright,deep house,house,dry,saturated,closed,open, Hi-hat, One shot"
DeepHouseSessions_TD6K_ClosedHat_010_SP,"acoustic,bright,deep house,house,dry,saturated,closed, Hi-hat, One shot"
DeepHouseSessions_TD6K_OpenHat_002_SP,"acoustic,bright,deep house,house,dry,closed,open, Hi-hat, One shot"
DeepHouseSessions_TD6K_OpenHat_031_SP,"acoustic,bright,deep house,house,dry,saturated,open, Hi-hat, One shot"
DeepHouseSessions_TD6K_OpenHat_033_SP,"bright,deep house,electronic,house,dry,open, Hi-hat, One shot"
DeepHouseSessions_TD6K_OpenHat_034_SP,"acoustic,bright,deep house,house,dry,saturated,closed,open, Hi-hat, One shot"
distortedguitar,"FX, Loop"
DOINK,"dark,electronic,down, Sweep, Loop"
DowntempoTripHop_FoPerc_09_SP,"cinematic,downtempo,trip hop,percussive, Foley, One shot"
DowntempoTripHop_KKick_03_SP,"acoustic,downtempo,trip hop,drum,hit, Kick, One shot"
Dubby_Fill04_85bpm,"acoustic,fill, Full-Kit, Loop"
DubstepInvasion_140_Kick_006_428,"dubstep,electronic,dry,hit, Kick, One shot"
DubstepInvasion_Closed_Hat_003_428,"acoustic,bright,dubstep,dry,closed,percussive,rattle, Tambourine, One shot"
DubstepInvasion_Closed_Hat_015_428,"bright,dubstep,electronic,dry,closed, Hi-hat, One shot"
DubstepInvasion_Open_Hat_001_428,"acoustic,bright,dubstep,dry,open, Hi-hat, One shot"
DubstepToolkit_1_14_Perc_3,"dubstep,electronic,saturated,hit, Clap, One shot"
DubstepToolkit_4_11_Tom_Hi,"dubstep,electronic,saturated, Tom, One shot"
DubstepToolkit_5_03_HiHat_1_CL,"acoustic,bright,dubstep,dry,open, Hi-hat, One shot"
EasternPercussion_DoumbekBrushes_01_SP,"acoustic,bright,drum,eastern,hand drum,percussive, Darbuka, One shot"
EasternPercussion_DoumbekNormal_01_SP,"acoustic,dry,drum,eastern,hand drum,percussive, Darbuka, One shot"
EasternPercussion_GhanaBell_High_01_SP,"acoustic,bright,dry,eastern,struck,bells, Cowbell, One shot"
EasternPercussion_Trianglering_01_SP,"acoustic,bright,dry,eastern,metallic,percussive,struck,bells, Triangle, One shot"
EasternPercussion_WindChimes_01_SP,"acoustic,bright,clean,eastern,metallic,percussive,struck,bells, Chimes, One shot"
EdisonsBeatTapes_24_Kick_SP_10,"acoustic,rhythm,drum,hit, Kick, One shot"
EdisonsBeatTapes_24_Kick_SP_15,"electronic,rhythm,dry,hit, Kick, One shot"
EdisonsBeatTapes_24_Kick_SP_23,"electronic,rhythm,dry,hit, Kick, One shot"
EdisonsBeatTapes_BackCrack_SP_01,"bright,electronic,rhythm,dry,hit, Rim, One shot"
EdisonsBeatTapes_BulbCrack_SP_01,"bright,cinematic,rhythm,dry,saturated,percussive, Foley, One shot"
EdisonsBeatTapes_DeathStomp_SP_01,"acoustic,rhythm,drum,hand drum,percussive,skin, Djembe, Loop"
EdisonsBeatTapes_DeathStomp_SP_01,"acoustic,rhythm,drum,hand drum,percussive,skin, Djembe, One shot"
EDMDestruction_CoinDrop_04_SP,"bright,cinematic,edm,drop,dry,percussive, Foley, One shot"
EDMDestruction_Wipwip_01_SP,"bright,edm,saturated,destructed, Scratch, Loop"
EDMNILS,"edm, Long"
Electr_HH,"bright,electronic,dry, Hi-hat, One shot"
EpicSciFi_CinematicImpact_04_554,"cinematic,saturated,impact, Explosion, One shot"
EpicSciFi_CymbalReverse_03_554,"acoustic,bright,dry,reverse, Splash, One shot"
EpicSciFi_LightChime_01_554,"acoustic,bright,clean,dry,metallic,percussive,struck,bells, Chimes, One shot"
EpicSciFi_OneTriangle_02_554,"acoustic,bright,dry,percussive,struck,bells, Percussion, One shot"
EtherealCircuit_Acoustic_Snare_SP_06,"acoustic,bright,electronic,dry,hit, Snare + Clap, One shot"
EtherealCircuit_Box_Drum_SP_01,"acoustic,dark,drum,hit, Kick, One shot"
EtherealCircuit_Glitch_SP_04,"electronic,dry,hit, Rim, One shot"
EtherealCircuit_Hat_SP_13,"bright,electronic,dry, Hi-hat, One shot"
EtherealCircuit_Organic_Snare_SP_01,"bright,electronic,organic,dry,percussive, Percussion, One shot"
ExperimentalChill_LayeredBigClap_01_532,"bright,electronic,experimental,layered,hit, Clap, One shot"
ExperimentalChill_PillsPercussion_01_532,"clean,experimental,dry, FX, One shot"
ExperimentalChill_PillsPercussion_03_532,"cinematic,clean,experimental,percussive, Foley, One shot"
ExperimentalChill_TinySnapClap_01_532,"acoustic,bright,clean,experimental,hit,percussive, Snap, One shot"
Ezra_Buzzin,Long
Fairfax_Vol_1_Big_OH_And_Room,"acoustic,reverb,hit, Rim, One shot"
Fairfax_Vol_1_Prepared_Heads,"acoustic,dry,hit, Rim, One shot"
Fairfax_Vol_2_Dry_Room,"acoustic,reverb,dry,drum,hit, Snare, One shot"
Fairfax_Vol_2_Fairly_Dry,"acoustic,dry,drum,hit, Snare, One shot"
flute,"clean,dry,electric, Organ, One shot"
FractalFoley_DillaWoodRimDry_SP_01,"acoustic,dry,hit, Rim, One shot"
FractalFoley_DirtyTakuKick_SP_01,"electronic,hit, Kick, One shot"
FractalFoley_MetalPerc_SP_04,"bright,dry,hit, Percussion, One shot"
FragmentsOfTechno_Kick_SP_10,"electronic,techno,dry,hit, Kick, One shot"
FragmentsOfTechno_Kick_SP_5,"electronic,techno,dry,hit, Kick, One shot"
Fretless BassInterlude,"clean,dark,dry,electric,plucked, Bass Guitar, Loop"
FutureBass_Clap_SP_06,"electronic,future bass,dry,hit, Clap, One shot"
FutureBass_Hat_SP_07,"acoustic,bright,future bass,dry,closed, Hi-hat, One shot"
FutureBass_Hat_SP_12,"acoustic,bright,future bass,dry,saturated, Hi-hat, One shot"
FutureBass_Hat_SP_15,"acoustic,bright,future bass,dry,closed, Hi-hat, One shot"
FutureBeats_18_Pongo_02_SP,"bright,electronic,rhythm,beats,dry,hit, Rim, One shot"
FutureBeats_18_Short_Square_01_SP,"acoustic,rhythm,beats,dry,struck,bells, Cowbell, One shot"
FutureBeats_18_Woop_02_SP,"bright,electronic,rhythm,beats,dry,saturated,percussive, Percussion, One shot"
FutureFunk&GlitchHop_BigKick_02_SP,"electronic,glitch hop,dry,hit, Kick, One shot"
FutureFunk&GlitchHop_BigSnare_01_SP,"bright,electronic,glitch hop,dry,hit, Snare, One shot"
FutureFunk&GlitchHop_BreakySnare_03_SP,"bright,electronic,glitch hop,hit, Snare, One shot"
FutureFunk&GlitchHop_Crash_01_SP,"bright,glitch hop,saturated, Crash, One shot"
FutureGarage_18_Hats&Perc_15_SP,"acoustic,bright,closed, Hi-hat, One shot"
FutureGarage_18_Snare_02_SP,"bright,electronic,hit, Snare + Clap, One shot"
FutureHop_CalmOpen_315_01,"bright,electronic,dry,saturated,open, Hi-hat, One shot"
FutureHop_CalmSnare_315_01,"bright,electronic,dry,saturated,hit, Snare, One shot"
FutureHop_CloseHat_315_01,"acoustic,bright,open, Hi-hat, One shot"
FutureHop_SlipSnare_315_01,"bright,electronic,hit, Snare, One shot"
FutureHop_WhasingOpen_315_01,"bright,electronic,dry,open, Hi-hat, One shot"
FutureRnB_Clap_01_SP,"bright,electronic,r&b,dry,saturated,hit, Clap, One shot"
FutureRnB_Hat_01_SP,"acoustic,bright,r&b,dry,open, Hi-hat, One shot"
FutureSoundOfTechno_Clap_SPFT_03,"electronic,techno,dry,hit, Clap, One shot"
FutureSoundOfTechno_Kick_SPFT_14,"dark,electronic,techno,dry,hit, Kick, One shot"
GabeSigh,"clean,dry, Vocal, One shot"
gaotakgettit merged,"dry,effects, Chopped, Loop"
gaotakgettit merged_1,"dry,effects, Chopped, Loop"
gaotakgettit,"dry, Rap, Loop"
gaotakgettit,"clean,dry, Rap, Loop"
GhostekMutantDubstep_24_Cymbal_SP_03,"acoustic,bright,dubstep,dry,closed, Hi-hat, One shot"
GhostekMutantDubstep_24_Kick_SP_11,"dubstep,electronic,dry,hit, Kick, One shot"
GhostekMutantDubstep_24_Perc_SP_05,"bright,dubstep,electronic,hit, Rim, One shot"
GhostekMutantDubstep_24_Snare_SP_31,"acoustic,bright,dubstep,dry,drum,hit, Snare, One shot"
GoldProducerCollection_ClickFlam_SP_03_441,"electronic,dry,click,hit, Rim, One shot"
GoldProducerCollection_Kick_SP_14_441,"electronic,dry,hit, Kick, One shot"
Greif and Sorrow (+3) 110bpm,Loop
guitarchords,"acoustic,clean,wet,plucked, Acoustic Guitar, Loop"
HHO_OP1,"acoustic,bright,dry,closed, Hi-hat, One shot"
HipHopCrateDiggers2_BellRide_01_SP,"hip hop, Ride, One shot"
HipHopCrateDiggers2_LiveOpenHat_01_SP,"acoustic,bright,hip hop,dry,closed,open, Hi-hat, One shot"
HipHopCrateDiggers2_SoftHat_01_SP,"acoustic,bright,hip hop,saturated,open, Hi-hat, One shot"
House&PopCulture_HiHat_Cristaline_SP_09,"bright,electronic,house,pop,dry, Hi-hat, One shot"
HouseRevival_Clap_12_SP,"electronic,house,hit, Clap, One shot"
HouseRevival_HiHat_11_SP,"acoustic,bright,house,dry,open, Hi-hat, One shot"
HouseRevival_HiHat_1_SP,"bright,electronic,house,dry, Hi-hat, One shot"
HouseRevival_HiHat_7_SP,"acoustic,bright,house,dry,saturated,open, Hi-hat, One shot"
HybridDrum&Bass_PercPaperTowelHit_02_SP,"acoustic,drum & bass,drum,hit, Rim, One shot"
I'LL NEVER SMILE AGAIN Tommy Dorsey & His Orchestra (1940)_PROCESSED,"processed, Long"
I'LL NEVER SMILE fast,Long
idontloveyouchords,"electric,plucked, Electric Guitar, One shot"
Indie_Fat_And_Tight,"acoustic,bright,percussive,rattle, Tambourine, One shot"
IpManControtedShots_Granular_05_SP,"bright,electronic,saturated,hit, Clap, One shot"
JENEAISLOW,Long
JourneyThroughSound_Snare_9_484,"bright,electronic,dry,hit, Snare, One shot"
Kaleidoscopic_Brink_SP_01,"bright,clean,electronic,dry, Hi-hat, One shot"
Kaleidoscopic_SnapKick_SP_01,"electronic,hit, Kick, One shot"
KG&LivewireDnB_Snare_07_SP,"acoustic,bright,drum & bass,dry,drum,hit, Snare, One shot"
KG&LivewireDnB_Snare_21_SP,"bright,drum & bass,electronic,dry,hit, Snare, One shot"
Kick,"acoustic,drum,hit, Kick, One shot"
LeAnn Rimes - Blue (Official Music Video)_PROCESSED,"processed, Long"
Like It Is - Yusef Lateef (The Blue Yusef Lateef).wmv.91Like it is CHOP,"electronic,monophonic,low, Synth Bass, One shot"
LiquidSoul_FestivalKick_01_SP,"electronic,soul,dry,hit, Kick, One shot"
